"name","namespace","revision","updated","status","chart","app_version"
"vector-extract-cr-wctu2b-redis","default","1","2024-09-18 09:25:30.923042499 +0000 UTC","deployed","redis-17.10.2","7.0.11"
"vector-extract-fe-8xat2s-db","default","1","2024-06-04 10:45:21.565415034 +0000 UTC","deployed","postgresql-11.6.6","14.3.0"
"vector-extract-fe-8xat2s-elasticsearch","default","1","2024-06-04 10:47:18.053185854 +0000 UTC","deployed","elasticsearch-19.5.15","8.6.2"
"vector-extract-fe-8xat2s-redis","default","1","2024-06-04 10:49:36.848643248 +0000 UTC","deployed","redis-17.10.2","7.0.11"
"vector-frontend","default","4185","2024-09-20 05:31:25.420350186 +0000 UTC","deployed","vector-frontend-0.1.0","1.0"
"vector-frontend-b-2sg2au","default","1","2024-09-23 08:38:39.456712987 +0000 UTC","deployed","vector-frontend-0.1.0","1.0"
"vector-frontend-b-2sg2au-unleash-proxy","default","1","2024-09-23 08:38:47.915425202 +0000 UTC","deployed","unleash-proxy-0.1.0","1.0"
"vector-frontend-b-y22np5","default","2","2024-09-10 17:41:14.765782029 +0000 UTC","deployed","vector-frontend-0.1.0","1.0"
"vector-frontend-b-y22np5-unleash-proxy","default","2","2024-09-10 17:41:26.590109896 +0000 UTC","deployed","unleash-proxy-0.1.0","1.0"
"vector-frontend-b-yk7ei2","default","2","2024-09-16 13:14:35.155886903 +0000 UTC","deployed","vector-frontend-0.1.0","1.0"
"vector-frontend-b-yk7ei2-unleash-proxy","default","2","2024-09-16 13:14:43.848464051 +0000 UTC","deployed","unleash-proxy-0.1.0","1.0"
"vector-frontend-c-h657qs","default","9","2024-09-23 09:45:52.013303642 +0000 UTC","deployed","vector-frontend-0.1.0","1.0"
"vector-frontend-c-h657qs-unleash-proxy","default","9","2024-09-23 09:45:58.887368889 +0000 UTC","deployed","unleash-proxy-0.1.0","1.0"
"vector-frontend-c-j16620","default","5","2024-09-23 07:27:23.711799029 +0000 UTC","deployed","vector-frontend-0.1.0","1.0"
